Strain,Mutations,Number/ID,Levo Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,0:29,B3,0.097
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,0:29,C2,0.098
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,0:29,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,0:29,D2,0.097
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,0:29,D3,0.097
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,0:29,E2,0.098
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,0:29,E3,0.097
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,0:29,F2,0.099
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,0:29,F3,0.096
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,0:29,G2,0.097
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,0:29,G3,0.098
BL21,wt,JOE2354,0 ng/mL,2-Dec,0:29,H2,0.096
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,0:29,H3,0.098
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,0:59,C2,0.103
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,0:59,C3,0.1
BL21,wt,JOE2354,1.25 ng/mL,44882,0:59,D2,0.102
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,0:59,D3,0.101
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,0:59,E2,0.103
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,0:59,E3,0.101
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,0:59,F2,0.103
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,0:59,F3,0.101
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,0:59,G2,0.103
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,0:59,G3,0.1
BL21,wt,JOE2354,0 ng/mL,17-Nov,0:59,H2,0.101
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,0:59,H3,0.099
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,0:59,B2,0.104
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,0:59,B3,0.096
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,0:59,C2,0.101
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,0:59,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,0:59,D2,0.099
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,0:59,D3,0.1
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,0:59,E2,0.1
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,0:59,E3,0.102
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,0:59,F2,0.099
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,0:59,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,0:59,G2,0.097
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,0:59,G3,0.095
BL21,wt,JOE2354,0 ng/mL,22-Nov,0:59,H2,0.099
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,0:59,H3,0.098
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,0:59,B2,0.102
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,0:59,B3,0.098
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,0:59,C2,0.1
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,0:59,C3,0.098
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,0:59,D2,0.1
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,0:59,D3,0.098
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,0:59,E2,0.1
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,0:59,E3,0.098
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,0:59,F2,0.101
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,0:59,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,0:59,G2,0.099
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,0:59,G3,0.098
BL21,wt,JOE2354,0 ng/mL,2-Dec,0:59,H2,0.098
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,0:59,H3,0.099
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,1:29,C2,0.108
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,1:29,C3,0.101
BL21,wt,JOE2354,1.25 ng/mL,44882,1:29,D2,0.108
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,1:29,D3,0.102
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,1:29,E2,0.109
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,1:29,E3,0.102
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,1:29,F2,0.11
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,1:29,F3,0.102
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,1:29,G2,0.109
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,1:29,G3,0.102
BL21,wt,JOE2354,0 ng/mL,17-Nov,1:29,H2,0.107
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,1:29,H3,0.1
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,1:29,B2,0.108
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,1:29,B3,0.096
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,1:29,C2,0.106
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,1:29,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,1:29,D2,0.104
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,1:29,D3,0.101
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,1:29,E2,0.104
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,1:29,E3,0.103
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,1:29,F2,0.103
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,1:29,F3,0.099
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,1:29,G2,0.102
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,1:29,G3,0.096
BL21,wt,JOE2354,0 ng/mL,22-Nov,1:29,H2,0.104
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,1:29,H3,0.099
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,1:29,B2,0.107
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,1:29,B3,0.099
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,1:29,C2,0.105
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,1:29,C3,0.099
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,1:29,D2,0.105
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,1:29,D3,0.099
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,1:29,E2,0.105
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,1:29,E3,0.099
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,1:29,F2,0.106
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,1:29,F3,0.098
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,1:29,G2,0.104
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,1:29,G3,0.1
BL21,wt,JOE2354,0 ng/mL,2-Dec,1:29,H2,0.102
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,1:29,H3,0.1
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,1:59,C2,0.12
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,1:59,C3,0.104
BL21,wt,JOE2354,1.25 ng/mL,44882,1:59,D2,0.12
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,1:59,D3,0.104
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,1:59,E2,0.12
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,1:59,E3,0.104
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,1:59,F2,0.121
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,1:59,F3,0.104
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,1:59,G2,0.12
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,1:59,G3,0.104
BL21,wt,JOE2354,0 ng/mL,17-Nov,1:59,H2,0.117
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,1:59,H3,0.102
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,1:59,B2,0.117
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,1:59,B3,0.098
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,1:59,C2,0.114
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,1:59,C3,0.1
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,1:59,D2,0.112
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,1:59,D3,0.103
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,1:59,E2,0.114
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,1:59,E3,0.104
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,1:59,F2,0.111
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,1:59,F3,0.1
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,1:59,G2,0.11
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,1:59,G3,0.097
