Strain,Mutations,Number/ID,Nor Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,0:59,H3,0.096
BL21,wt,JOE2354,5 ng/mL,6-Sep,0:59,E2,0.098
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,0:59,E3,0.096
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,0:59,F2,0.095
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,0:59,F3,0.093
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,0:59,G2,0.094
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,0:59,G3,0.09
BL21,wt,JOE2354,0 ng/mL,6-Sep,0:59,H2,0.096
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,0:59,H3,0.091
BL21,wt,JOE2354,5 ng/mL,20-Sep,0:59,F2,0.108
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,0:59,F3,0.101
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,0:59,G2,0.106
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,0:59,G3,0.097
BL21,wt,JOE2354,0 ng/mL,20-Sep,0:59,H2,0.102
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,0:59,H3,0.098
BL21,wt,JOE2354,5 ng/mL,25-Aug,1:29,F2,0.1
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,1:29,F3,0.095
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,1:29,G2,0.1
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,1:29,G3,0.094
BL21,wt,JOE2354,0 ng/mL,25-Aug,1:29,H2,0.097
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,1:29,H3,0.092
BL21,wt,JOE2354,5 ng/mL,1-Sep,1:29,E2,0.107
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,1:29,E3,0.102
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,1:29,F2,0.108
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,1:29,F3,0.098
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,1:29,G2,0.104
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,1:29,G3,0.096
BL21,wt,JOE2354,0 ng/mL,1-Sep,1:29,H2,0.105
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,1:29,H3,0.099
BL21,wt,JOE2354,5 ng/mL,6-Sep,1:29,E2,0.104
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,1:29,E3,0.096
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,1:29,F2,0.1
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,1:29,F3,0.094
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,1:29,G2,0.1
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,1:29,G3,0.091
BL21,wt,JOE2354,0 ng/mL,6-Sep,1:29,H2,0.101
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,1:29,H3,0.092
BL21,wt,JOE2354,5 ng/mL,20-Sep,1:29,F2,0.121
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,1:29,F3,0.102
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,1:29,G2,0.117
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,1:29,G3,0.098
BL21,wt,JOE2354,0 ng/mL,20-Sep,1:29,H2,0.111
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,1:29,H3,0.099
BL21,wt,JOE2354,5 ng/mL,25-Aug,1:59,F2,0.109
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,1:59,F3,0.098
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,1:59,G2,0.108
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,1:59,G3,0.096
BL21,wt,JOE2354,0 ng/mL,25-Aug,1:59,H2,0.106
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,1:59,H3,0.094
BL21,wt,JOE2354,5 ng/mL,1-Sep,1:59,E2,0.123
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,1:59,E3,0.107
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,1:59,F2,0.123
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,1:59,F3,0.103
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,1:59,G2,0.117
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,1:59,G3,0.1
BL21,wt,JOE2354,0 ng/mL,1-Sep,1:59,H2,0.117
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,1:59,H3,0.103
BL21,wt,JOE2354,5 ng/mL,6-Sep,1:59,E2,0.116
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,1:59,E3,0.099
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,1:59,F2,0.111
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,1:59,F3,0.096
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,1:59,G2,0.11
